Secondary_sample_accession,Classified,Unclassified
HCLVMBCX2-3505-19-00-01_S19,1843129,4829476
CS29,14545200,6024918
CMC026.A0101.SG1,10007408,3270199
SRR17523824,57609,167
SA-006,4031033,6857450
SRS475686,83450,29190
ERS9656251,2198411,8524767
SRS024561,24272307,4999437
CMB002.A0101,3338978,4638956
MID068.B0101,2391976,3066220
ARS005.A0101,2358930,15991639
TAF018.B0101,2382054,4158228
OME005.A0101,2185424,7268087
CDM045.Q0101.SG1,3322977,5912873
SRR6877286,3886571,4790886
ARS005.A0101,2358930,15991639
OME005.A0101,2185424,7268087
OME003.A0101,2975738,10939970
MID033.A0101,3195623,4204454
CMC034.A0101.SG1,7435289,2150497
22C,2106919,3169785
SRR17524594,38674,197
AON001.A0101,3693546,7328431
SRS476610,1147315,679879
ERS9656263,12953582,65855731
SRR1930123,56272467,17665521
SRS015574,34712319,7197308
ESA004.A0101,2186412,5610784
EFE006.B0101,4031607,6862516
OME003.A0101,2975738,10939970
KT12calc,1355584,2357747
JAE016.A0101,62118956,32250191
HCLVMBCX2-3505-09-00-01_S9,3553817,13536006
MTM013.A0101,2503611,4571895
CDM054.A0101.SG1,1353850,7758352
NMU117.A0101,4605978,6622653
CMC029.A0201.SG1,5859071,2416355
KNP001.A0102,4141740,12061785
SRR17524420,37794,326
SRS475649,460372,128596
2090,3700402,11693666
ERR1883420,148585,534745
ESA008.A0101,3186182,5895072
MTM013.A0101,2503611,4571895
ERR5729631,8351238,26455721
BAN001.A0101,280527,9751191
SA-009,4386029,9259708
KT33calc,2861644,3746203
SRR6877324,4498960,4314376
NMU128.A0101,4385788,6946656
CDM048.F0101.SG1,5339817,6259323
ECO010.B0101,1667110,10509869
CMC027.A0201.SG1,5384994,3675543
25C,2532800,6342816
SRR17523832,44639,101
SRS476140,148063,71747
TAP001.B0101,5023573,6493003
ERS9656254,465265,2272273
SRR1761721,31725567,11938237
SRS015215,33733160,7408878
2081,3252604,7627241
HCLVMBCX2-3505-15-00-01_S15,2735023,7952839
CDM047.Z0101.SG1,1436644,4955400
CDM051.S0101.SG1,4149236,7252733
CDM041.U0101.SG1,2203882,10148878
SRR11176640,15811771,8945374
ERR5729648,8511268,15606950
CDM051.V0101.SG1,3958865,5192146
Abusir1511c,753313,2872037
MAWB10,23892787,24314441
CMC022.A0101.SG1,16344914,4526868
EBO008.A0101,1840899,9719257
SRR17524266,39481,69
SRS475707,148744,57987
MID031.A0101,2487553,3660260
ERS9656266,4605,29848
ERR1883436,24853,89111
SRS014894,23375135,3178167
MID041.A0101,4107408,5163692
CS39,4239402,5036711
ABM008.A0101,529178,4485351
CDM051.A0101.SG1,4036681,5864343
ERR5729660,55321,190842
ABM008.A0101,529178,4485351
CDM049.D0101.SG1,2971346,7311203
JAE009.A0101,46158819,19759068
MOA001.A0102,2638024,5793874
CMC009.B0101.SG1,11188561,2765708
13C,6911805,15316023
SRR17524433,28645,197
SRS476146,72374,58921
VLC004.A0101,30254300,12917036
ERS9656253,10430020,27278800
SRR1631061,21787491,9781882
SRS045197,41861945,11752055
VLC009.A0101,26699947,6851696
SRS047100,32765631,4340982
SRS018359,8362763,1170726
SRR1646033,545768,633909
CMC041.A0201.SG1,9606161,3700902
ERR1474569,8667576,3833472
OME003.A0101,2975738,10939970
DJA007.A0101,2442034,14908173
BB06,10309668,30366816
MTM012.A0101,5063567,5504870
SRR17524356,43448,254
ESA003.A0101,4433773,5658964
SRS475975,115486,44666
ERS9656258,2973714,5633518
SRR1761705,32934394,10197693
SRS017088,9698811,1092512
ANN002.A0101,4555268,5100331
2084,4254436,11196065
ERR5729661,17395,106371
MID073.A0101,5654538,6336718
ECO006.B0101,1302967,9125110
KNP004.A0102,49922,134232
2104,10774152,17292472
2089,4898723,6831060
CDM042.M0101.SG1,4220412,5873882
HCLVMBCX2-3505-05-00-01_S5,736002,4774647
KNP004.A0102,49922,134232
CMC033.B0201.SG1,10200560,2906012
SRR17524352,27411,201
KT16calc,1453212,2430278
SRS475619,1448743,344925
ERS9656264,7008027,29616893
ERR1883418,225503,625289
SRS063603,33667584,10622085
AKI001.A0101,2332695,6812318
MID053.A0101,4200815,6472932
MID062.A0101,3539286,4380759
FUM003.A0101,7347072,8221758
KT09calc,1302481,3327306
KT01calc,4886386,5664921
ARS011.A0101,2165511,16074652
ERR5729647,7864919,18229361
GDN001.B0101,2705623,12367137
ERR5729633,12712602,26118269
ERR5729649,8475888,17067202
CMC005.A0202.SG1,9859677,3015884
18C,4068284,9826510
SRR17524675,15866,96
ECO002.C0101,1778084,9959104
SRS476190,63214,48870
ERS9656246,25380580,14172295
ERR1883438,28903,55096
SRS023538,20449535,7151407
ARS011.A0101,2165511,16074652
2099,5497776,13535266
HCLVMBCX2-3505-31-00-01_S31,960292,2995803
CDM048.D0101.SG1,3637175,7679066
MID091.A0101,6171284,7486681
CS44,5108058,4265294
KT24calc,2207147,4157886
CMC018.B0101.SG1,9807771,4884781
07C,3609621,7928901
SRR17523801,42985,56
SRS476210,72027,41849
MID047.A0101,3326821,3649618
CS37,7796630,14525738
ARS015.A0101,4142870,25756526
