Library_ID	Clade	Percent
SRS020862	Mitis	65.7020906054297
SRS019029	Mitis	61.2877871595197
SRS052876	Mitis	65.3166430238785
SRS015574	Mitis	44.7651874192159
SRS045197	Mitis	55.9493815821243
SRS019028	Mitis	69.9223063724877
SRS014690	Mitis	65.6696731611919
SRS014477	Mitis	54.0943819658077
SRS017227	Mitis	70.4261107683841
SRS013950	Anginosus	43.6553663687545
SRS014691	Mitis	51.268636784968
SRS064329	Mitis	56.7384517430548
SRS017088	Mitis	96.9450383793013
SRR1646039	Mitis	48.4060929648241
SRR1646046	Mitis	69.4418852737235
SRR1646038	Mitis	78.3672900864853
SRR1646044	Mitis	82.5664804026473
SRR1646043	Mitis	86.8771224617091
SRR1646045	Mitis	87.7907860726775
SRR1646040	Mitis	90.2446402735762
SRR1646030	Mitis	91.8068162356568
SRR1646033	Mitis	91.5936921857105
SRR1646031	Mitis	92.6589303733602
SRR1646047	Mitis	93.4756626280143
SRR1646032	Mitis	94.0682771917886
SRR1646041	Mitis	95.0991831971995
SRR1646042	Mitis	94.8183552863151
SRS013945	Mitis	74.5581088027837
SRS015436	Mitis	75.9572663569756
SRS056892	Mitis	79.538520415258
SRS043239	Mitis	49.1296549538754
SRS011310	Mitis	87.6529059537222
SRS019124	Mitis	88.1166020584275
SRS019587	Mitis	91.7070515630732
SRS018359	Mitis	94.8186519881852
SRS013506	Mitis	94.7601234548818
SRS015799	Mitis	95.1976221587238
SRS052874	Mitis	95.3328136958827
SRS011247	Mitis	95.1893162785479
SRS058105	Mitis	93.1513939421804
SRS024281	Mitis	95.3685721625309
SRS476294	Sanguinis	50.2925402242808
SRS475973	Sanguinis	45.0797141286421
SRS475970	Mitis	48.8509204668512
ERR1474573	Sanguinis	44.0232576022967
SRS475596	Mitis	57.6585365853659
SRS476214	Mitis	62.6882673079357
SRS476110	Mitis	55.6258042857942
SRS476336	Mitis	64.9957564184172
SRS475628	Mitis	54.4131910766246
SRS476000	Mitis	54.0708933232298
SRS476072	Mitis	63.9858371269601
SRS476113	Mitis	57.4993363419166
SRS476056	Mitis	66.3530231747691
SRS475985	Mitis	60.678391959799
SRS476281	Mitis	68.5714285714286
SRS475972	Mitis	54.890043982407
SRS476102	Mitis	71.5305525369891
SRS475663	Mitis	66.2272651426665
SRS476286	Mitis	67.3152515723271
SRS476175	Mitis	53.8097199341021
SRS475650	Mitis	68.3011049723757
ERR1474581	Mitis	43.3586361597129
SRS475583	Mitis	57.0336170826721
SRS476170	Mitis	67.8125262010564
SRS475635	Mitis	72.5239203516938
SRS475563	Mitis	73.8498402555911
SRS476268	Mitis	61.7840375586855
SRS476197	Mitis	67.5680491825188
SRS476150	Mitis	74.4403956272775
SRS476146	Mitis	70.3466803121402
SRS476007	Mitis	54.1881497760122
SRS475687	Mitis	62.6796230859835
SRS476311	Mitis	58.8509316770186
SRS476174	Mitis	77.432534505253
SRS475543	Mitis	70.0543628489819
SRS475720	Mitis	72.463768115942
SRS475571	Mitis	61.140070623844
SRS475930	Mitis	55.934861278649
SRS475683	Mitis	71.0450623202301
SRS475601	Mitis	64.6973118671232
SRS475655	Mitis	69.0775432772113
SRS475950	Mitis	78.3904071799022
SRS475957	Mitis	74.4734023563013
SRS476186	Mitis	68.9077507259326
SRS475710	Mitis	77.3746169972585
SRS476048	Mitis	74.4994644475571
SRS475616	Mitis	73.2008830022075
